"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","24","821","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","24","2","2","1","3.666899","0","3"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","24","2","2","1","3.837384","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","2","2","1","3.472565","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","4","4","1","6.082196","0","7"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","2","2","1","4.128464","0","2"
"/Engine/VREditor/TransformGizmo/Main.Main","24","2","2","1","3.997280","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","15","2","1","55.051441","0","92"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","24","2","2","1","2.936622","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","24","2","2","1","2.628702","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","30","1","1","88.538017","0","494"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","2.297067","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","24","17","1","1","46.985188","0","169"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","24","8","1","1","7.599175","0","40"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","24","4","1","1","4.108356","0","13"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","2.481995","0","3"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","2.783146","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","4","1","1","3.912680","0","13"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","24","2","2","27.619324","0","175"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","2.407773","0","3"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","30","1","1","79.685577","0","464"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","24","60","1","1","182.588409","0","1889"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","24","60","1","1","167.743088","0","1608"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","24","60","1","1","163.963257","0","1168"
"/Game/OM/Models/star-1/star.Star","24","17","1","1","41.421829","0","131"
"/Game/OM/Models/star-1/lens.lens","24","17","1","1","42.742104","0","101"
"/Game/OM/Models/star-1/glassesFrames.glassesFrames","24","17","1","1","43.070896","0","121"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","4","1","1","4.167837","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","2.262887","0","3"
"/ControlRig/M_Manip.M_Manip","24","4","1","1","3.906737","0","13"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","6","1","1","4.809005","0","22"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","24","6","6","1","8.365987","0","9"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","10","6","25.030243","0","87"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","10","1","1","27.055031","0","47"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","8","5","1","6.937010","0","29"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","77","1","1","193.763626","0","1257"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","210","2","1","606.026367","0","4604"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","598","1","1","1545.192139","0","26877"
"/Game/OM/Models/a_statue_of_a_sheep/textured_0.textured_0","24","17","1","1","43.583183","0","114"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","21","1","1","47.082764","0","117"
"/AppleARKit/M_SceneDepthOcclusion.M_SceneDepthOcclusion","24","6","1","1","4.722614","0","26"
"/AppleARKit/M_OcclusionOverlay.M_OcclusionOverlay","24","18","3","3","9.816317","0","78"
"/ARUtilities/Materials/M_DepthColoration.M_DepthColoration","24","6","2","1","4.621675","0","24"
"/GoogleARCore/M_SceneDepthOcclusion.M_SceneDepthOcclusion","24","6","6","1","5.114156","0","6"
"/ARUtilities/Materials/M_PassthroughCamera.M_PassthroughCamera","24","12","2","2","9.209019","0","41"
"/ARUtilities/Materials/M_ScreenSpacePassthroughCamera.M_ScreenSpacePassthroughCamera","24","8","2","2","7.486696","0","26"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","6","1","1","4.481497","0","26"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","6","1","1","4.670326","0","17"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","2.405388","0","3"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","24","15","1","1","41.028275","0","91"
"/Game/OM/Material/ARCrosshair.ARCrosshair","24","21","1","1","45.316662","0","151"
"/Game/HandheldAR/Blueprints/UI/Materials/M_ButtonRotatingUI.M_ButtonRotatingUI","24","9","1","1","6.458070","0","47"
"/Game/OM/Material/Gradient.Gradient","24","9","1","1","6.209326","0","48"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Shadow.M_Shadow","24","2","2","1","2.295392","0","2"
"/Game/OM/Models/fishing_boat-1/DefaultMaterial.DefaultMaterial","24","17","1","1","45.054768","0","123"
